time,open,high,low,close
1701276300.0,1.09633,1.09683,1.09633,1.0968
1701276600.0,1.09682,1.09747,1.09676,1.09722
1701276900.0,1.09721,1.09754,1.09713,1.09742
1701277200.0,1.09741,1.09772,1.09707,1.09754
1701277500.0,1.09755,1.09772,1.09683,1.09687
1701277800.0,1.0968,1.09693,1.0965,1.09671
1701278100.0,1.09671,1.09686,1.09638,1.09651
1701278400.0,1.09651,1.09684,1.09624,1.0967
1701278700.0,1.09672,1.09672,1.09634,1.09645
1701279000.0,1.09645,1.09664,1.09628,1.09647
1701279300.0,1.09645,1.09675,1.0961,1.09624
1701279600.0,1.09624,1.09653,1.09619,1.09639
1701279900.0,1.09641,1.09671,1.09639,1.09663
1701280200.0,1.09662,1.09689,1.09652,1.09683
1701280500.0,1.09683,1.09705,1.0967,1.09677
1701280800.0,1.09677,1.09688,1.09654,1.09688
1701281100.0,1.09688,1.09749,1.09688,1.09741
1701281400.0,1.09741,1.09764,1.09733,1.09754
1701281700.0,1.09754,1.09768,1.09742,1.09743
1701282000.0,1.09743,1.09768,1.09737,1.09763
1701282300.0,1.09761,1.09762,1.09727,1.09735
1701282600.0,1.09734,1.09756,1.09727,1.0974
1701282900.0,1.0974,1.09758,1.09739,1.09755
1701283200.0,1.09755,1.09755,1.09722,1.09747
1701283500.0,1.09748,1.09775,1.09741,1.09769
1701283800.0,1.09768,1.09776,1.09743,1.09743
1701284100.0,1.09741,1.09772,1.09741,1.09755
1701284400.0,1.09754,1.09806,1.09753,1.09789
1701284700.0,1.09789,1.0979,1.09743,1.09745
1701285000.0,1.09745,1.0975,1.09732,1.0974
1701285300.0,1.0974,1.09761,1.09718,1.09724
1701285600.0,1.09724,1.09739,1.09723,1.09732
1701285900.0,1.09732,1.0978,1.09725,1.09779
1701286200.0,1.09779,1.0979,1.0976,1.09769
1701286500.0,1.09768,1.09794,1.09766,1.09783
1701286800.0,1.09784,1.09817,1.09783,1.09812
1701287100.0,1.09811,1.09832,1.09802,1.09815
1701287400.0,1.09815,1.09844,1.09814,1.09835
1701287700.0,1.09834,1.0985,1.09834,1.0984
1701288000.0,1.09839,1.09879,1.09838,1.09877
1701288300.0,1.09877,1.0992,1.09876,1.0992
1701288600.0,1.0992,1.09943,1.0991,1.09924
1701288900.0,1.09924,1.09924,1.09899,1.09909
1701289200.0,1.09909,1.09909,1.09881,1.09883
1701289500.0,1.09882,1.09884,1.09837,1.09838
1701289800.0,1.09838,1.09843,1.09798,1.09805
1701290100.0,1.09803,1.09808,1.09775,1.09782
